"id","character","source","translatedstr"
"Idolchr_0305_B_20_01_001(0)","Ｐ","ボーカルレッスンお疲れ様です、歌織さん。
今日の成果はどうでしたか？","Thanks for the vocal lesson, Utahori.
What were your results today?"
"Idolchr_0305_B_20_01_002(0)","歌織","プロデューサーさん、お疲れ様です！
本日も充実したレッスンになりました","Thanks for your help, producer!
Another productive lesson today!"
"Idolchr_0305_B_20_01_003(0)","歌織","今までは教える側だったので、教えてもらう
立場になって、いろんなことに気づかされます","I've been on the teaching side, so now I'm being taught.
I am in a position to notice many things."
"Idolchr_0305_B_20_01_004(0)","Ｐ","そうなんですね。
歌織さんに大切なことを学んでもらえてよかったです","I see.
I'm glad you learned something important from Kaori-san."
"Idolchr_0305_B_20_01_005(0)","歌織","そうだ。プロデューサーさんは、
レッスンで大事な気持ちってなんだと思いますか？","Yes, the producer,
What do you think is the most important feeling in a lesson?"
"Idolchr_0305_B_20_01_006(0)","Ｐ","大事な気持ち、ですか。
そうですね……","An important feeling, is it?"
"Idolchr_0305_B_20_01_007(0)","選択肢","失敗を恐れないこと","Do not be afraid of failure."
"Idolchr_0305_B_20_01_008(0)","選択肢","諦めないこと","Never give up."
"Idolchr_0305_B_20_01_009(0)","選択肢","負けないこと","Not to lose"
"Idolchr_0305_B_20_01_010(0)","Ｐ","失敗を恐れないこと、でしょうか？","Not to be afraid of failure, right?"
"Idolchr_0305_B_20_01_011(0)","歌織","はい、それはとても大事ですね♪
失敗を乗り越えてこそ、見えるものがありますから！","Yes, that's very important.Â
Because only by overcoming failures can we see what we can see!"
"Idolchr_0305_B_20_01_012(0)","Ｐ","諦めずに続けること、ですかね","Keep going and don't give up, I guess."
"Idolchr_0305_B_20_01_013(0)","歌織","『継続は力なり』ですね。着実に成長するためには、
日々のレッスンに励むことが大切です","Continuity is power,
It is important to work hard on your daily lessons!"
"Idolchr_0305_B_20_01_014(0)","Ｐ","自分に負けないこと、ですかね？","Not to lose to yourself, right?"
"Idolchr_0305_B_20_01_015(0)","歌織","そうですね……誰かと競うわけではないので、
より良い自分を目指すことは大事かもしれませんね","Yes, ...... I'm not competing with anyone,
Maybe it's important to aim for a better you."
"Idolchr_0305_B_20_01_016(0)","歌織","でも一番大事なのは、楽しむ気持ち、かも。
私ちょっと、そんなことを思いました","But maybe the most important thing is the feeling of having fun.
I was just thinking about that."
"Idolchr_0305_B_20_01_017(0)","Ｐ","そうですね。みんなには、
楽しめるアイドル活動をしてもらいたいです","Yes, for everyone,
I want them to have an idol activity that they can enjoy."
"Idolchr_0305_B_20_01_018(0)","歌織","ふふっ、プロデューサーさんと一緒なら
大丈夫ですよ。私信じてます♪","Hmmm, if you're with the producer...
Don't worry, I believe in you."
"Idolchr_0305_B_20_02_001(0)","Ｐ","（仕事の帰り道。気分転換も兼ねて、
歌織さんと公園で散歩をすることにした）","(On my way home from work, for a change,
(I decided to take a walk in the park with Kaori-san.)"
"Idolchr_0305_B_20_02_002(0)","Ｐ","歌織さんって普段、
休日は何をされているんですか？","Kaori-san is usually,
What do you do on your days off?"
"Idolchr_0305_B_20_02_003(0)","歌織","そうですね……。時間があるときは、
趣味の乗馬に出かけたりしています","Yes, ......, when you have time,
I go horseback riding as a hobby."
"Idolchr_0305_B_20_02_004(0)","Ｐ","乗馬って、世間的には敷居が高い趣味の
イメージがあるみたいですけど","Horseback riding is a hobby that is considered by many people to be a very difficult one.
You seem to have an image."
"Idolchr_0305_B_20_02_005(0)","歌織","そう……なんですか？
乗馬が趣味って、おかしいでしょうか……？","So ...... is it?
Is it strange that horseback riding is a hobby ......?"
"Idolchr_0305_B_20_02_006(0)","Ｐ","いえ、そんなことないですよ。
歌織さんが乗馬って……","No, that's not true.
I heard that Kaori is a horse rider: ......"
"Idolchr_0305_B_20_02_007(0)","選択肢","お姫様みたいで
かっこいい","She's like a princess.
""cool"
"Idolchr_0305_B_20_02_008(0)","選択肢","淑女らしくて
素敵","It's so ladylike.
great"
"Idolchr_0305_B_20_02_009(0)","選択肢","お金持ちみたいで
すごい","She looks like a rich man.
amazing (e.g. of strength)"
"Idolchr_0305_B_20_02_010(0)","Ｐ","なんだか、おとぎ話に出てくるお姫様みたいで
かっこいいです。とても似合っていますよ","It's kind of like a princess in a fairy tale.
It's cool, looks great on you."
"Idolchr_0305_B_20_02_011(0)","歌織","かっこいいお姫様……。ふふっ♪
プロデューサーさんも、冗談がお上手ですね","Cool princess ....... phew!
Your producer is very good at jokes, too."
"Idolchr_0305_B_20_02_012(0)","Ｐ","淑女……っていうんですか？
大人っぽい雰囲気で、素敵です","Is it called a lady ......?
It's very mature and nice!"
"Idolchr_0305_B_20_02_013(0)","歌織","まぁ……私なんて、まだまだ。
淑女になるために勉強中ですよ","Well, ...... I'm not even close.
I'm learning to be a lady."
"Idolchr_0305_B_20_02_014(0)","Ｐ","お金持ちって感じがすごくしますね","I really feel like a rich person."
"Idolchr_0305_B_20_02_015(0)","歌織","お金持ちは関係ないと思いますよ？
確かに、手軽な趣味ではありませんが……","I don't think the rich have anything to do with it, do they?
Certainly not an easy hobby. ......"
"Idolchr_0305_B_20_02_016(0)","Ｐ","でも、歌織さんらしい優雅な趣味でいいですね","But it's a nice, elegant hobby, just like you, Kaori-san."
"Idolchr_0305_B_20_02_017(0)","歌織","ありがとうございます。そうだ、プロデューサーさん
も今度一緒に乗馬をしに行きませんか……？","Thank you, yes, producer.
Would you also like to go horseback riding with us next time ......?"
"Idolchr_0305_B_20_02_018(0)","Ｐ","いいですね、ご一緒させてください","Great, please let me join you."
