"id","character","source","translatedstr"
"ConnectionNpc_1209_A_01_00_0001(0)","P","（盛上さんが企画したロックフェスに来たけど、
すごい熱気だ……）","(I came to a rock festival organized by Morigami-san, though,
(It's so hot. ......)"
"ConnectionNpc_1209_A_01_00_0002(0)","P","（……あっという間に終演か。
よし、盛上さんに挨拶しに行こう）","(......The show will be over in no time?
(Okay, let's go say hello to Morigami-san)"
"ConnectionNpc_1209_A_01_00_0003(0)","P","お忙しいところ、失礼します。
あの、盛上さんでしょうか？","Excuse me for taking time out of my busy schedule.
Um, Morigami-san, is it?"
"ConnectionNpc_1209_A_01_00_0004(0)","盛上　泰菜","誰……？","Who ......?"
"ConnectionNpc_1209_A_01_00_0005(0)","P","すみません。
ご挨拶にお伺いしました","Sorry.
I'm here to greet you."
"ConnectionNpc_1209_A_01_00_0006(0)","P","お初にお目にかかります。
プロジェクトルミナスのプロデューサーです","I see you for the first time.
I'm the producer of Project Luminous."
"ConnectionNpc_1209_A_01_00_0007(0)","盛上　泰菜","ああ、高木さんのところのか。
今日は社長は来なかったの？","Oh, at Takagi-san's place?
Didn't the president come today?"
"ConnectionNpc_1209_A_01_00_0008(0)","P","盛上さんのフェスは学ぶものが多いと勧められ、
チケットを社長に譲っていただきました","She recommended Morigami-san's festival as a good place to learn,
Tickets were given to the president."
"ConnectionNpc_1209_A_01_00_0009(0)","P","今日のステージ、素晴らしかったです。どの演出も
初めて見るものばかりで……とても感動しました！","Today's stage was amazing, every production was.
I was very impressed with ...... as I had never seen anything like it before!"
"ConnectionNpc_1209_A_01_00_0010(0)","盛上　泰菜","あ、そう。……話はそれだけ？
アタシ、とても忙しいんだけど？","Ah, yes. ...... Is that all there is to the story?
I'm very busy."
"ConnectionNpc_1209_A_01_00_0011(0)","P","今日のフェスを見て、確信しました。
ぜひ、お話を聞いていただけないでしょうか？","After seeing today's festival, I am convinced.
Would you be willing to talk to us?"
"ConnectionNpc_1209_A_01_00_0012(0)","盛上　泰菜","……","……"
"ConnectionNpc_1209_A_01_00_0013(0)","P","我々は、プロジェクトルミナスという
アイドルユニットを立ち上げました","We are Project Luminous, a
We launched an idol unit."
"ConnectionNpc_1209_A_01_00_0014(0)","P","盛上さん、
ルミナスの公演に協力してください！","Morigami-san,
Help Luminous perform!"
"ConnectionNpc_1209_A_01_00_0015(0)","盛上　泰菜","休日もロクに取れないこの私に、立ち上げたばかりの
ユニットをプロモートしろですって？","I can't even take a day off, and I've just started up.
You want me to promote your unit?"
"ConnectionNpc_1209_A_01_00_0016(0)","盛上　泰菜","アタシは即完売記録を更新中よ。それを止めるような
仕事を受けるメリットは何かあるの？","I'm setting a record for instant sell-outs, and I'm not about to let that stop me.
What are the benefits of taking the job?"
"ConnectionNpc_1209_A_01_00_0017(0)","P","盛上さんは、立ち上げたばかりのユニットでも
存在を輝かすプロモーターだと聞いてます","Morigami-san is also a member of a unit that has just started up.
I'm told he's a promoter whose presence shines through."
"ConnectionNpc_1209_A_01_00_0018(0)","盛上　泰菜","だから？","So?"
"ConnectionNpc_1209_A_01_00_0019(0)","P","盛上さんのライブは、会場が輝いてました！
俺と一緒にルミナスを輝かせませんか？","The venue shone during Morigami's live performance!
Won't you join me in making Luminous shine?"
"ConnectionNpc_1209_A_01_00_0020(0)","盛上　泰菜","……","……"
"ConnectionNpc_1209_A_01_00_0021(0)","P","誰も見たことのない輝きを作りたいんです！","We want to create a brilliance that no one has ever seen before!"
"ConnectionNpc_1209_A_01_00_0022(0)","盛上　泰菜","バカね、アンタ","You're an idiot, you know that?"
"ConnectionNpc_1209_A_01_00_0023(0)","P","……ダメでしょうか？","...... No?"
"ConnectionNpc_1209_A_01_00_0024(0)","盛上　泰菜","でも、バカは嫌いじゃない","But I don't mind stupidity."
"ConnectionNpc_1209_A_01_00_0025(0)","P","えっ？","Eh?"
"ConnectionNpc_1209_A_01_00_0026(0)","盛上　泰菜","高木さんの見込んだプロデューサーってことか……。
あいかわらずのようね、あの社長さんは……","So you're Takagi-san's prospective producer. ......
Looks like that president is still the same. ......"
"ConnectionNpc_1209_A_01_00_0027(0)","盛上　泰菜","アンタにチャンスを与えてあげてもいいわ","I'm willing to give you a chance."
"ConnectionNpc_1209_A_01_00_0028(0)","盛上　泰菜","……もう少しそのルミナスって子たちがメジャーに
なったら、話を聞く時間を割いてあげてもいいけど？","...... a little more of those luminous kids to the majors.
If you do, I'd be happy to take the time to listen to you, if you'd like."
"ConnectionNpc_1209_A_01_00_0029(0)","P","わかりました。
ルミナスの人気を上げたら、また伺います！","I understand.
We will visit again when Luminas gains popularity!"
"ConnectionNpc_1209_A_01_00_0030(0)","盛上　泰菜","じゃ、アタシは次の仕事があるんで","Well, I have another job."
"ConnectionNpc_1209_A_01_00_0031(0)","P","（ルミナスを今よりメジャーにする、か……。
まずはファン人数を増やすところからかな……）","(Make Luminous more major than it is now, or .......
Maybe we can start by increasing the number of fans (......)"
"ConnectionNpc_1209_A_02_00_0001(0)","P","盛上さん。お忙しいところ時間を作っていただき、
ありがとうございます","Morigami-san, thank you for taking time out of your busy schedule,
Thank you."
"ConnectionNpc_1209_A_02_00_0002(0)","盛上　泰菜","……で、どうなの？
できるだけ手短にお願いしたいんだけど","How about at ......?
I'd appreciate it if you could be as brief as possible."
"ConnectionNpc_1209_A_02_00_0003(0)","P","ルミナスの最近の実績をまとめた資料です。
こちらを見てもらえますか？","This document summarizes Luminous' recent performance.
Can you take a look at this one?"
"ConnectionNpc_1209_A_02_00_0004(0)","盛上　泰菜","ふうーん……ま、ノビシロはあるってコトね。
最初の報告としては、まあまあといった所かしら","Hmmm......... Well, I guess that means I have a lot of potential.
I guess that's about right for a first report."
"ConnectionNpc_1209_A_02_00_0005(0)","P","はい、ルミナスは以前とは比べ物にならないくらい
歌もダンスも上達し、ファン人数も増えています","Yes, Luminous is so much better than before.
The number of fans has been increasing as the singing and dancing have improved."
"ConnectionNpc_1209_A_02_00_0006(0)","盛上　泰菜","でも、このアタシが興味を持つに値するアイドルには
遥かに遠いわ。目指すのは、もっとメジャーよ！","But for the idol who deserves my interest.
It's a long way away, and I'm aiming for something more major!"
"ConnectionNpc_1209_A_02_00_0007(0)","P","……俺もそう思います！　だから盛上さん、
どうしたらいいのかアドバイスをいただけませんか？","......I think so too! So, Morigami-san,
Can you please advise me what to do?"
"ConnectionNpc_1209_A_02_00_0008(0)","盛上　泰菜","随分とストレートね……。
まっ、そういうバカなところが、面白いのよね","That's pretty straight forward. ......
Well, it's that kind of stupidity that makes it interesting."
"ConnectionNpc_1209_A_02_00_0009(0)","盛上　泰菜","いいわ、協力してあげる","Okay, I'll help you."
"ConnectionNpc_1209_A_02_00_0010(0)","盛上　泰菜","公演のアドバイスや興行主への一声もしてあげる。
ただし……アタシが納得したら、ね","I will also give advice on performances and give one voice to the box office.
But only if ...... Atashi is satisfied."
"ConnectionNpc_1209_A_02_00_0011(0)","P","教えてください。
できることなら、何でもやります！","Tell us about it.
We will do whatever we can!"
"ConnectionNpc_1209_A_02_00_0012(0)","盛上　泰菜","ステージをこなし、ファンを増やしなさい。
その中でなにをしたのか？　なにを思ったのか？","Do the stages and build up your fan base.
What did you do? What did you think?"
"ConnectionNpc_1209_A_02_00_0013(0)","盛上　泰菜","それが面白かったら、協力してあげる","If that's fun, I'll help you."
"ConnectionNpc_1209_A_02_00_0014(0)","P","……盛上さんが面白いと感じること。
それを考えろということですか？","...... that Morigami finds interesting.
Is that what you're asking me to think about?"
"ConnectionNpc_1209_A_02_00_0015(0)","盛上　泰菜","まあ、そうなんだけどヒントぐらいは出してあげる。
高木さんに恩もあるしね","Well, yes, but I'll at least give you a hint.
I owe Takagi-san a debt of gratitude."
"ConnectionNpc_1209_A_02_00_0016(0)","P","本当ですか！
ありがとうございます！","Really?
Thank you very much!"
"ConnectionNpc_1209_A_02_00_0017(0)","盛上　泰菜","公演ってのは大金が動くの！　人生賭けた仕事なの！
もっともっと、もっと考えなさいよ！　わかる？","Performances are a big money business!
Think more, think less, think more! Do you understand?"
"ConnectionNpc_1209_A_02_00_0018(0)","盛上　泰菜","はい、面会時間終了。次の仕事に行かなきゃ","Okay, visiting hours are over, I have to go to my next job."
"ConnectionNpc_1209_A_02_00_0019(0)","P","今日はありがとうございました。
それでは、失礼します","Thank you for your time today.
Now, if you'll excuse me."
"ConnectionNpc_1209_A_02_00_0020(0)","P","（もっと考えなさい、か。
もっともな内容だけに堪えるなぁ……）","(Think more, huh?)
(It's just so hard to stomach the plausibility of the content. ......)"
"ConnectionNpc_1209_A_02_00_0021(0)","盛上　泰菜","ちょ、ちょっと待ちなさい！
…………あ、あのさ……","Wait a minute!
............ Oh, you know what ......"
"ConnectionNpc_1209_A_02_00_0022(0)","盛上　泰菜","……これでも、少しは期待してるんだからね！
少しっていっても、ほんの少しだけど。……わかる？","...... Even with all this, I'm still hoping for a little bit more!
A little, but only a little. ...... understand?"
"ConnectionNpc_1209_A_02_00_0023(0)","P","（少しは期待してる、か……。それに応えるためにも
少しづつ人気を上げて、興味を持ってもらわないと）","(I'm hoping for a little, or ......, to answer that.
(We need to build up our popularity a little bit, get people interested.)"
"ConnectionNpc_1209_A_03_00_0001(0)","P","（盛上さんからチケットが届いていたので
会場に来てみたけど、盛り上がってるな……）","(I had received a ticket from Morigami-san.
(I've been to the venue and it's a lot of fun. ......)"
"ConnectionNpc_1209_A_03_00_0002(0)","P","（よし、そろそろ盛上さんに会いに行こう）","(Okay, it's time to go see Morigami-san)"
"ConnectionNpc_1209_A_03_00_0003(0)","","――ステージ会場併設カフェ――","--Cafe attached to the stage venue--"
"ConnectionNpc_1209_A_03_00_0004(0)","P","盛上さん、お疲れ様です。
今日のＤＪバトルも、凄かったですね","Thanks for your hard work, Morigami-san.
Today's DJ battle was also awesome!"
"ConnectionNpc_1209_A_03_00_0005(0)","盛上　泰菜","あ、そう……。で、今日は何？
アタシ、この後、打ち合わせが入ってるんだけど？","Ah, so ....... So, what's today?
I have a meeting later."
"ConnectionNpc_1209_A_03_00_0006(0)","P","あ、あの……盛上さんにチケットをいただいたので、
来たのですが……","Oh, I got the ticket from that ...... Morigami,
I came to ......"
"ConnectionNpc_1209_A_03_00_0007(0)","盛上　泰菜","ああ、そうだっけ……。まあ、いいわ。
……で、どう思ったの？","Oh, right. ....... Well, okay.
What did you think of ......?"
"ConnectionNpc_1209_A_03_00_0008(0)","P","満員……いや、それ以上……？
会場の定員数より、多かったように思えます","Full ...... or even more ......?
It seemed like there were more people than the venue could accommodate."
"ConnectionNpc_1209_A_03_00_0009(0)","盛上　泰菜","正解。
思ったより、バカじゃなくて良かったわ","Correct answer.
I'm glad I'm not as stupid as I thought I was."
"ConnectionNpc_1209_A_03_00_0010(0)","P","定員より多いなんて……すごいです","It's amazing ...... that there are more than capacity!"
"ConnectionNpc_1209_A_03_00_0011(0)","盛上　泰菜","まあ、定員を増やすのは交渉と、内容調整次第ね。
今日はＤＪバトルだからステージ面積を減らしたわ","Well, it is up to negotiations and content adjustments to increase capacity.
We're having a DJ battle today, so I've reduced the stage area."
"ConnectionNpc_1209_A_03_00_0012(0)","P","それも、お客さんを増やしていく
努力ということですね……","That, too, will bring in more customers.
That means effort. ......"
"ConnectionNpc_1209_A_03_00_0013(0)","盛上　泰菜","プロモーターの基本はチケットを売る事ね。
当り前だけど、チケットがサバけないと赤字になるわ","The basis of a promoter is to sell tickets.
Of course, if we don't get the tickets, we're going to lose money."
"ConnectionNpc_1209_A_03_00_0014(0)","盛上　泰菜","つまり、このアタシの手に、
アーティストの未来が、生活が懸かってるの","In other words, in my hand,
The future of the artists, their livelihoods are at stake."
"ConnectionNpc_1209_A_03_00_0015(0)","P","確かに……アーティストを売り出すためにも、
赤字は避けるべきですよね","Certainly ...... to market the artist,
We should avoid deficits."
"ConnectionNpc_1209_A_03_00_0016(0)","盛上　泰菜","ニワトリ、タマゴの命題になるけど、
アーティストを売るには知名度も必要","Chickens, though, are an egg proposition,
Selling artists also requires name recognition."
"ConnectionNpc_1209_A_03_00_0017(0)","盛上　泰菜","どんな矛盾であれ、
それを越えて解決するのがプロの仕事よ","Whatever the contradiction,
It's the job of a professional to go beyond that and figure it out."
"ConnectionNpc_1209_A_03_00_0018(0)","P","チケットを売るためにも知名度をあげる……。
プロの仕事……それが、俺がやるべき仕事……","We'll also raise your profile to sell tickets. ......
Professional ...... that's what I'm supposed to do ......"
"ConnectionNpc_1209_A_03_00_0019(0)","盛上　泰菜","ふふん♪　少しはわかってきたじゃない。
次は、もっと人気を上げて来なさい","Hmmm...you're starting to get the picture.
Next time, come back more popular."
"ConnectionNpc_1209_A_03_00_0020(0)","P","はい、もっと人気が出るように頑張ります。
お忙しいところ、ありがとうございました","Yes, we will try to be more popular.
Thank you for your time."
"ConnectionNpc_1209_A_03_00_0021(0)","盛上　泰菜","……って、ああっ！　アンタのせいで、
次のリハまでの休憩時間、無くなったじゃない！","...... is, ah! It's your fault,
You've lost your break time until the next rehearsal!"
"ConnectionNpc_1209_A_03_00_0022(0)","盛上　泰菜","ん～～っ、もうっ！！","Mmmm~!"
"ConnectionNpc_1209_A_03_00_0023(0)","P","（盛上さんって、アーティスト思いだな……。
よし、一歩ずつ頑張っていこう！）","(Morigami-san is an artist at heart. ......
Okay, let's take it one step at a time!)"
"ConnectionNpc_1209_A_04_00_0001(0)","P","（よし、ファンの人数も、ステージ動員数も
増えてきたな。盛上さんに報告に行こう）","(Okay, the number of fans and stage attendance.
Let's go report to Morigami-san.)"
"ConnectionNpc_1209_A_04_00_0002(0)","P","お忙しいところ、ありがとうございます。
ルミナスのファン人数も、さらに増えてきました","Thank you for your time.
The number of Luminous fans has also increased even more!"
"ConnectionNpc_1209_A_04_00_0003(0)","P","こちら、最近の実績をまとめた資料です。
見てもらえますか？","Here is a document summarizing recent results.
Can you take a look at it?"
"ConnectionNpc_1209_A_04_00_0004(0)","盛上　泰菜","なるほどね……。
まあ悪くないわね","I see. .......
Well, that's not bad."
"ConnectionNpc_1209_A_04_00_0005(0)","P","本当ですか！
盛上さんにそう言ってもらえると嬉しいです","Really?
I'm glad to hear you say so, Morigami-san."
"ConnectionNpc_1209_A_04_00_0006(0)","盛上　泰菜","相変わらず単純ね。
いいとは言ってないんだけど……","Simple as ever.
I didn't say it was good. ......"
"ConnectionNpc_1209_A_04_00_0007(0)","盛上　泰菜","……ルミナスの名前、少しはメディアに
出てくるようになったじゃない。……少し、ね","...... luminous name, a little bit of media.
You're starting to show up. ...... a little bit, you know."
"ConnectionNpc_1209_A_04_00_0008(0)","P","ありがとうございます。おかげさまで、
お客さんからの評判はどんどんよくなってます","Thanks a lot, thanks to you,
Our reputation with customers is getting better and better."
"ConnectionNpc_1209_A_04_00_0009(0)","盛上　泰菜","そう。だったら、もっと精進しなさい。
……で、報告は以上？　なら、アタシ、行くけど？","Well, then, be more diligent.
So that's all I have to report at ......? Well, I'll be on my way, then, won't I?"
"ConnectionNpc_1209_A_04_00_0010(0)","P","盛上さん、実はもうひとつ報告があるんです。
お客さんに入ってもらうとみんなが幸せになりますね","Morigami-san, I actually have one more report.
It makes everyone happy when you have guests come in."
"ConnectionNpc_1209_A_04_00_0011(0)","P","お客さんも、きらきら輝くんです。
そして、結果的にステージがより輝いていく……","Customers, too, sparkle and shine.
And the stage shines brighter as a result: ......"
"ConnectionNpc_1209_A_04_00_0012(0)","盛上　泰菜","チケットを売り切るって事はね、
みんなを幸せにするって事なの。……わかる？","Selling out tickets, you mean,
It's about making everyone happy. ...... understand?"
"ConnectionNpc_1209_A_04_00_0013(0)","P","はい！","Yes!"
