"id","character","source","translatedstr"
"ConnectionNpc_1208_A_01_00_0001(0)","取枡　和雄","お～い、こっちこっち！！
えーと……","Oh~ hey, over here, over here!
Let's see: ......"
"ConnectionNpc_1208_A_01_00_0002(0)","Ｐ","あ、はい！
プロジェクトルミナスのプロデューサーです！","Ah, yes!
I am the producer of Project Luminous!"
"ConnectionNpc_1208_A_01_00_0003(0)","取枡　和雄","あ、そうそう。Ｐちゃんだ！","Ah, yes, it's P-chan!"
"ConnectionNpc_1208_A_01_00_0004(0)","取枡　和雄","Ｐちゃん、聞いてるよ。
おたく、新しいユニット立ち上げたんだって？","P, I hear you.
I heard you started a new unit."
"ConnectionNpc_1208_A_01_00_0005(0)","取枡　和雄","たしか、プロジェクト……
キグナスだっけ？","I think the project ......
Kignas, right?"
"ConnectionNpc_1208_A_01_00_0006(0)","Ｐ","あ、いえ、ルミナスですね……","Oh, no, it's luminous. ......"
"ConnectionNpc_1208_A_01_00_0007(0)","取枡　和雄","あぁ、それそれ！
複数の事務所のメンバーがいるんだって！？","Yeah, that's it!
They have members from multiple offices!"
"ConnectionNpc_1208_A_01_00_0008(0)","取枡　和雄","やっぱさぁ、事務所が違うと
チームワークとかさぁ、大変だよねぇ……","I knew it. Different offices.
Teamwork, you know, it's a lot of work. ......"
"ConnectionNpc_1208_A_01_00_0009(0)","取枡　和雄","でも頑張ってよ！
期待してるからさっ！","But good luck with that!
I'm counting on you!"
"ConnectionNpc_1208_A_01_00_0010(0)","Ｐ","ありがとうございます。
期待していてください！","Thank you very much.
Stay tuned!"
"ConnectionNpc_1208_A_01_00_0011(0)","取枡　和雄","プロジェクトキグナス！
そのうち、ウチの番組にも出てよね～！","Project Kignas!
One of these days, you'll have to come on our show!"
"ConnectionNpc_1208_A_01_00_0012(0)","Ｐ","……は、はい。
よろしくお願いします！","......, yes.
Best regards!"
"ConnectionNpc_1208_A_01_00_0013(0)","取枡　和雄","でもさ、まずは実績作りが大事じゃん！？","But, you know, it's important to build a track record first!"
"ConnectionNpc_1208_A_01_00_0014(0)","取枡　和雄","とりあえずさぁ、営業を頑張ってきてよ！
じゃ、そんな感じでヨロシク～！","Anyway, you know, go out there and work on your sales!
Well, I'll see you like that!"
"ConnectionNpc_1208_A_01_00_0015(0)","Ｐ","（なんだか軽い人だったな……。
けど、今後頼りになるかもしれない）","(She was kind of a lightweight. .......
(but you might be able to count on me in the future)"
"ConnectionNpc_1208_A_01_00_0016(0)","Ｐ","（しかし、キグナスか……。有名にならないと、
名前を憶えてもらえないのかもしれない）","(But you must be famous, either at Kignas or ......,
(Maybe they won't remember my name.)"
"ConnectionNpc_1208_A_01_00_0017(0)","Ｐ","（もっと仕事で名前を売ってから会いに来よう！）","(I'll come see you when I've got more work to sell!)"
"ConnectionNpc_1208_A_02_00_0001(0)","Ｐ","取枡さん、おはようございます！","Good morning, Torimasu-san!"
